serializacao;of[VPL]
[PP_00_I>21>3][PP_00_J>20>5][PP_00_K>2>1][PP_01_I>15>2][PP_01_J>19>5][PP_01_K>1>0][PP_02_I>25>1][PP_02_J>11>1][PP_02_K>1>0][PP_03_I>35>0][PP_03_J>8>2][PP_03_K>1>0][PP_04_I>41>0][PP_04_J>19>0][PP_04_K>1>0][PP_05_I>35>4][PP_05_J>16>0][PP_05_K>1>0][PP_06_I>30>0][PP_06_J>12>0][PP_06_K>1>0][PP_07_I>37>5][PP_07_J>20>3][PP_07_K>1>0][PP_08_I>20>6][PP_08_J>14>3][PP_08_K>1>0][PP_09_I>22>0][PP_09_J>17>4][PP_09_K>1>0][PI_10_I>17>2][PI_10_J>4>0][PI_10_K>6>2][PI_11_I>22>5][PI_11_J>25>2][PI_11_K>5>1][PI_12_I>25>0][PI_12_J>8>4][PI_12_K>6>2][PI_13_I>9>4][PI_13_J>7>0][PI_13_K>5>1][PI_14_I>38>0][PI_14_J>17>5][PI_15_I>35>8][PI_15_J>22>3][PI_15_K>5>1][PI_16_I>37>2][PI_16_J>23>2][PI_16_K>5>1][PI_17_I>32>5][PI_17_J>16>4][PP_00_DIRECTION>J>1][PP_01_DIRECTION>I>0][PP_02_DIRECTION>I>0][PP_03_DIRECTION>J>1][PP_04_DIRECTION>J>1][PP_05_DIRECTION>J>1][PP_06_DIRECTION>J>1][PP_07_DIRECTION>J>1][PP_08_DIRECTION>I>0][PP_09_DIRECTION>J>1][PI_10_DIRECTION>I>0][PI_11_DIRECTION>I>0][PI_12_DIRECTION>I>0][PI_13_DIRECTION>J>1][PI_14_DIRECTION>J>1][PI_15_DIRECTION>J>1][PI_16_DIRECTION>J>1][PI_17_DIRECTION>J>1][PP_00_BLOCKS>-4>0][PP_01_BLOCKS>-4>0][PP_02_BLOCKS>-4>0][PP_03_BLOCKS>-4>0][PP_04_BLOCKS>-4>0][PP_05_BLOCKS>4>1][PP_06_BLOCKS>-4>0][PP_07_BLOCKS>4>1][PP_08_BLOCKS>4>1][PP_09_BLOCKS>4>1][PI_10_BLOCKS>4>1][PI_11_BLOCKS>4>1][PI_12_BLOCKS>4>1][PI_13_BLOCKS>4>1][PI_14_BLOCKS>4>1][PI_15_BLOCKS>4>1][PI_16_BLOCKS>4>1][PI_17_BLOCKS>-4>0][PI_14_K>6>0][PI_17_K>6>0];2577717438.71
[PP_00_I>21>3][PP_00_J>20>5][PP_00_K>2>1][PP_01_I>15>2][PP_01_J>19>5][PP_01_K>1>0][PP_02_I>25>1][PP_02_J>10>0][PP_02_K>2>1][PP_03_I>35>0][PP_03_J>8>2][PP_03_K>1>0][PP_04_I>41>0][PP_04_J>19>0][PP_04_K>1>0][PP_05_I>35>4][PP_05_J>16>0][PP_05_K>1>0][PP_06_I>30>0][PP_06_J>12>0][PP_06_K>1>0][PP_07_I>37>5][PP_07_J>20>3][PP_07_K>1>0][PP_08_I>20>6][PP_08_J>14>3][PP_08_K>1>0][PP_09_I>22>0][PP_09_J>17>4][PP_09_K>1>0][PI_10_I>17>2][PI_10_J>4>0][PI_10_K>6>2][PI_11_I>22>5][PI_11_J>25>2][PI_11_K>5>1][PI_12_I>25>0][PI_12_J>8>4][PI_12_K>6>2][PI_13_I>9>4][PI_13_J>7>0][PI_13_K>5>1][PI_14_I>38>0][PI_14_J>17>5][PI_15_I>35>8][PI_15_J>22>3][PI_15_K>5>1][PI_16_I>37>2][PI_16_J>23>2][PI_16_K>5>1][PI_17_I>32>5][PI_17_J>16>4][PP_00_DIRECTION>J>1][PP_01_DIRECTION>I>0][PP_02_DIRECTION>I>0][PP_03_DIRECTION>J>1][PP_04_DIRECTION>J>1][PP_05_DIRECTION>J>1][PP_06_DIRECTION>J>1][PP_07_DIRECTION>J>1][PP_08_DIRECTION>I>0][PP_09_DIRECTION>J>1][PI_10_DIRECTION>I>0][PI_11_DIRECTION>I>0][PI_12_DIRECTION>I>0][PI_13_DIRECTION>J>1][PI_14_DIRECTION>J>1][PI_15_DIRECTION>J>1][PI_16_DIRECTION>J>1][PI_17_DIRECTION>J>1][PP_00_BLOCKS>-4>0][PP_01_BLOCKS>-4>0][PP_02_BLOCKS>-4>0][PP_03_BLOCKS>-4>0][PP_04_BLOCKS>-4>0][PP_05_BLOCKS>4>1][PP_06_BLOCKS>-4>0][PP_07_BLOCKS>4>1][PP_08_BLOCKS>4>1][PP_09_BLOCKS>4>1][PI_10_BLOCKS>4>1][PI_11_BLOCKS>4>1][PI_12_BLOCKS>4>1][PI_13_BLOCKS>4>1][PI_14_BLOCKS>4>1][PI_15_BLOCKS>4>1][PI_16_BLOCKS>4>1][PI_17_BLOCKS>-4>0][PI_14_K>6>0][PI_17_K>6>0];2446302635.63
[PP_00_I>21>3][PP_00_J>20>5][PP_00_K>2>1][PP_01_I>15>2][PP_01_J>19>5][PP_01_K>1>0][PP_02_I>25>1][PP_02_J>10>0][PP_02_K>1>0][PP_03_I>36>1][PP_03_J>8>2][PP_03_K>1>0][PP_04_I>41>0][PP_04_J>19>0][PP_04_K>1>0][PP_05_I>35>4][PP_05_J>16>0][PP_05_K>1>0][PP_06_I>30>0][PP_06_J>12>0][PP_06_K>1>0][PP_07_I>37>5][PP_07_J>20>3][PP_07_K>1>0][PP_08_I>20>6][PP_08_J>14>3][PP_08_K>1>0][PP_09_I>22>0][PP_09_J>17>4][PP_09_K>1>0][PI_10_I>17>2][PI_10_J>4>0][PI_10_K>6>2][PI_11_I>22>5][PI_11_J>25>2][PI_11_K>5>1][PI_12_I>25>0][PI_12_J>8>4][PI_12_K>6>2][PI_13_I>9>4][PI_13_J>7>0][PI_13_K>5>1][PI_14_I>38>0][PI_14_J>17>5][PI_15_I>35>8][PI_15_J>22>3][PI_15_K>5>1][PI_16_I>37>2][PI_16_J>23>2][PI_16_K>5>1][PI_17_I>32>5][PI_17_J>16>4][PP_00_DIRECTION>J>1][PP_01_DIRECTION>I>0][PP_02_DIRECTION>I>0][PP_03_DIRECTION>J>1][PP_04_DIRECTION>J>1][PP_05_DIRECTION>J>1][PP_06_DIRECTION>J>1][PP_07_DIRECTION>J>1][PP_08_DIRECTION>I>0][PP_09_DIRECTION>J>1][PI_10_DIRECTION>I>0][PI_11_DIRECTION>I>0][PI_12_DIRECTION>I>0][PI_13_DIRECTION>J>1][PI_14_DIRECTION>J>1][PI_15_DIRECTION>J>1][PI_16_DIRECTION>J>1][PI_17_DIRECTION>J>1][PP_00_BLOCKS>-4>0][PP_01_BLOCKS>-4>0][PP_02_BLOCKS>-4>0][PP_03_BLOCKS>-4>0][PP_04_BLOCKS>-4>0][PP_05_BLOCKS>4>1][PP_06_BLOCKS>-4>0][PP_07_BLOCKS>4>1][PP_08_BLOCKS>4>1][PP_09_BLOCKS>4>1][PI_10_BLOCKS>4>1][PI_11_BLOCKS>4>1][PI_12_BLOCKS>4>1][PI_13_BLOCKS>4>1][PI_14_BLOCKS>4>1][PI_15_BLOCKS>4>1][PI_16_BLOCKS>4>1][PI_17_BLOCKS>-4>0][PI_14_K>6>0][PI_17_K>6>0];2439178415.37
[PP_00_I>21>3][PP_00_J>20>5][PP_00_K>2>1][PP_01_I>15>2][PP_01_J>19>5][PP_01_K>1>0][PP_02_I>25>1][PP_02_J>10>0][PP_02_K>1>0][PP_03_I>35>0][PP_03_J>9>3][PP_03_K>1>0][PP_04_I>41>0][PP_04_J>19>0][PP_04_K>1>0][PP_05_I>35>4][PP_05_J>16>0][PP_05_K>1>0][PP_06_I>30>0][PP_06_J>12>0][PP_06_K>1>0][PP_07_I>37>5][PP_07_J>20>3][PP_07_K>1>0][PP_08_I>20>6][PP_08_J>14>3][PP_08_K>1>0][PP_09_I>22>0][PP_09_J>17>4][PP_09_K>1>0][PI_10_I>17>2][PI_10_J>4>0][PI_10_K>6>2][PI_11_I>22>5][PI_11_J>25>2][PI_11_K>5>1][PI_12_I>25>0][PI_12_J>8>4][PI_12_K>6>2][PI_13_I>9>4][PI_13_J>7>0][PI_13_K>5>1][PI_14_I>38>0][PI_14_J>17>5][PI_15_I>35>8][PI_15_J>22>3][PI_15_K>5>1][PI_16_I>37>2][PI_16_J>23>2][PI_16_K>5>1][PI_17_I>32>5][PI_17_J>16>4][PP_00_DIRECTION>J>1][PP_01_DIRECTION>I>0][PP_02_DIRECTION>I>0][PP_03_DIRECTION>J>1][PP_04_DIRECTION>J>1][PP_05_DIRECTION>J>1][PP_06_DIRECTION>J>1][PP_07_DIRECTION>J>1][PP_08_DIRECTION>I>0][PP_09_DIRECTION>J>1][PI_10_DIRECTION>I>0][PI_11_DIRECTION>I>0][PI_12_DIRECTION>I>0][PI_13_DIRECTION>J>1][PI_14_DIRECTION>J>1][PI_15_DIRECTION>J>1][PI_16_DIRECTION>J>1][PI_17_DIRECTION>J>1][PP_00_BLOCKS>-4>0][PP_01_BLOCKS>-4>0][PP_02_BLOCKS>-4>0][PP_03_BLOCKS>-4>0][PP_04_BLOCKS>-4>0][PP_05_BLOCKS>4>1][PP_06_BLOCKS>-4>0][PP_07_BLOCKS>4>1][PP_08_BLOCKS>4>1][PP_09_BLOCKS>4>1][PI_10_BLOCKS>4>1][PI_11_BLOCKS>4>1][PI_12_BLOCKS>4>1][PI_13_BLOCKS>4>1][PI_14_BLOCKS>4>1][PI_15_BLOCKS>4>1][PI_16_BLOCKS>4>1][PI_17_BLOCKS>-4>0][PI_14_K>6>0][PI_17_K>6>0];2470814634.88
[PP_00_I>21>3][PP_00_J>20>5][PP_00_K>2>1][PP_01_I>15>2][PP_01_J>19>5][PP_01_K>1>0][PP_02_I>25>1][PP_02_J>10>0][PP_02_K>1>0][PP_03_I>35>0][PP_03_J>7>1][PP_03_K>1>0][PP_04_I>41>0][PP_04_J>19>0][PP_04_K>1>0][PP_05_I>35>4][PP_05_J>16>0][PP_05_K>1>0][PP_06_I>30>0][PP_06_J>12>0][PP_06_K>1>0][PP_07_I>37>5][PP_07_J>20>3][PP_07_K>1>0][PP_08_I>20>6][PP_08_J>14>3][PP_08_K>1>0][PP_09_I>22>0][PP_09_J>17>4][PP_09_K>1>0][PI_10_I>17>2][PI_10_J>4>0][PI_10_K>6>2][PI_11_I>22>5][PI_11_J>25>2][PI_11_K>5>1][PI_12_I>25>0][PI_12_J>8>4][PI_12_K>6>2][PI_13_I>9>4][PI_13_J>7>0][PI_13_K>5>1][PI_14_I>38>0][PI_14_J>17>5][PI_15_I>35>8][PI_15_J>22>3][PI_15_K>5>1][PI_16_I>37>2][PI_16_J>23>2][PI_16_K>5>1][PI_17_I>32>5][PI_17_J>16>4][PP_00_DIRECTION>J>1][PP_01_DIRECTION>I>0][PP_02_DIRECTION>I>0][PP_03_DIRECTION>J>1][PP_04_DIRECTION>J>1][PP_05_DIRECTION>J>1][PP_06_DIRECTION>J>1][PP_07_DIRECTION>J>1][PP_08_DIRECTION>I>0][PP_09_DIRECTION>J>1][PI_10_DIRECTION>I>0][PI_11_DIRECTION>I>0][PI_12_DIRECTION>I>0][PI_13_DIRECTION>J>1][PI_14_DIRECTION>J>1][PI_15_DIRECTION>J>1][PI_16_DIRECTION>J>1][PI_17_DIRECTION>J>1][PP_00_BLOCKS>-4>0][PP_01_BLOCKS>-4>0][PP_02_BLOCKS>-4>0][PP_03_BLOCKS>-4>0][PP_04_BLOCKS>-4>0][PP_05_BLOCKS>4>1][PP_06_BLOCKS>-4>0][PP_07_BLOCKS>4>1][PP_08_BLOCKS>4>1][PP_09_BLOCKS>4>1][PI_10_BLOCKS>4>1][PI_11_BLOCKS>4>1][PI_12_BLOCKS>4>1][PI_13_BLOCKS>4>1][PI_14_BLOCKS>4>1][PI_15_BLOCKS>4>1][PI_16_BLOCKS>4>1][PI_17_BLOCKS>-4>0][PI_14_K>6>0][PI_17_K>6>0];2432741274.18
[PP_00_I>21>3][PP_00_J>20>5][PP_00_K>2>1][PP_01_I>15>2][PP_01_J>19>5][PP_01_K>1>0][PP_02_I>25>1][PP_02_J>10>0][PP_02_K>1>0][PP_03_I>35>0][PP_03_J>8>2][PP_03_K>2>1][PP_04_I>41>0][PP_04_J>19>0][PP_04_K>1>0][PP_05_I>35>4][PP_05_J>16>0][PP_05_K>1>0][PP_06_I>30>0][PP_06_J>12>0][PP_06_K>1>0][PP_07_I>37>5][PP_07_J>20>3][PP_07_K>1>0][PP_08_I>20>6][PP_08_J>14>3][PP_08_K>1>0][PP_09_I>22>0][PP_09_J>17>4][PP_09_K>1>0][PI_10_I>17>2][PI_10_J>4>0][PI_10_K>6>2][PI_11_I>22>5][PI_11_J>25>2][PI_11_K>5>1][PI_12_I>25>0][PI_12_J>8>4][PI_12_K>6>2][PI_13_I>9>4][PI_13_J>7>0][PI_13_K>5>1][PI_14_I>38>0][PI_14_J>17>5][PI_15_I>35>8][PI_15_J>22>3][PI_15_K>5>1][PI_16_I>37>2][PI_16_J>23>2][PI_16_K>5>1][PI_17_I>32>5][PI_17_J>16>4][PP_00_DIRECTION>J>1][PP_01_DIRECTION>I>0][PP_02_DIRECTION>I>0][PP_03_DIRECTION>J>1][PP_04_DIRECTION>J>1][PP_05_DIRECTION>J>1][PP_06_DIRECTION>J>1][PP_07_DIRECTION>J>1][PP_08_DIRECTION>I>0][PP_09_DIRECTION>J>1][PI_10_DIRECTION>I>0][PI_11_DIRECTION>I>0][PI_12_DIRECTION>I>0][PI_13_DIRECTION>J>1][PI_14_DIRECTION>J>1][PI_15_DIRECTION>J>1][PI_16_DIRECTION>J>1][PI_17_DIRECTION>J>1][PP_00_BLOCKS>-4>0][PP_01_BLOCKS>-4>0][PP_02_BLOCKS>-4>0][PP_03_BLOCKS>-4>0][PP_04_BLOCKS>-4>0][PP_05_BLOCKS>4>1][PP_06_BLOCKS>-4>0][PP_07_BLOCKS>4>1][PP_08_BLOCKS>4>1][PP_09_BLOCKS>4>1][PI_10_BLOCKS>4>1][PI_11_BLOCKS>4>1][PI_12_BLOCKS>4>1][PI_13_BLOCKS>4>1][PI_14_BLOCKS>4>1][PI_15_BLOCKS>4>1][PI_16_BLOCKS>4>1][PI_17_BLOCKS>-4>0][PI_14_K>6>0][PI_17_K>6>0];2456924323.14
[PP_00_I>21>3][PP_00_J>20>5][PP_00_K>2>1][PP_01_I>15>2][PP_01_J>19>5][PP_01_K>1>0][PP_02_I>25>1][PP_02_J>11>1][PP_02_K>1>0][PP_03_I>35>0][PP_03_J>8>2][PP_03_K>1>0][PP_04_I>42>1][PP_04_J>19>0][PP_04_K>1>0][PP_05_I>35>4][PP_05_J>16>0][PP_05_K>1>0][PP_06_I>30>0][PP_06_J>12>0][PP_06_K>1>0][PP_07_I>37>5][PP_07_J>20>3][PP_07_K>1>0][PP_08_I>20>6][PP_08_J>14>3][PP_08_K>1>0][PP_09_I>22>0][PP_09_J>17>4][PP_09_K>1>0][PI_10_I>17>2][PI_10_J>4>0][PI_10_K>6>2][PI_11_I>22>5][PI_11_J>25>2][PI_11_K>5>1][PI_12_I>25>0][PI_12_J>8>4][PI_12_K>6>2][PI_13_I>9>4][PI_13_J>7>0][PI_13_K>5>1][PI_14_I>38>0][PI_14_J>17>5][PI_15_I>35>8][PI_15_J>22>3][PI_15_K>5>1][PI_16_I>37>2][PI_16_J>23>2][PI_16_K>5>1][PI_17_I>32>5][PI_17_J>16>4][PP_00_DIRECTION>J>1][PP_01_DIRECTION>I>0][PP_02_DIRECTION>I>0][PP_03_DIRECTION>J>1][PP_04_DIRECTION>J>1][PP_05_DIRECTION>J>1][PP_06_DIRECTION>J>1][PP_07_DIRECTION>J>1][PP_08_DIRECTION>I>0][PP_09_DIRECTION>J>1][PI_10_DIRECTION>I>0][PI_11_DIRECTION>I>0][PI_12_DIRECTION>I>0][PI_13_DIRECTION>J>1][PI_14_DIRECTION>J>1][PI_15_DIRECTION>J>1][PI_16_DIRECTION>J>1][PI_17_DIRECTION>J>1][PP_00_BLOCKS>-4>0][PP_01_BLOCKS>-4>0][PP_02_BLOCKS>-4>0][PP_03_BLOCKS>-4>0][PP_04_BLOCKS>-4>0][PP_05_BLOCKS>4>1][PP_06_BLOCKS>-4>0][PP_07_BLOCKS>4>1][PP_08_BLOCKS>4>1][PP_09_BLOCKS>4>1][PI_10_BLOCKS>4>1][PI_11_BLOCKS>4>1][PI_12_BLOCKS>4>1][PI_13_BLOCKS>4>1][PI_14_BLOCKS>4>1][PI_15_BLOCKS>4>1][PI_16_BLOCKS>4>1][PI_17_BLOCKS>-4>0][PI_14_K>6>0][PI_17_K>6>0];2593497644.23
[PP_00_I>21>3][PP_00_J>20>5][PP_00_K>2>1][PP_01_I>15>2][PP_01_J>19>5][PP_01_K>1>0][PP_02_I>25>1][PP_02_J>11>1][PP_02_K>1>0][PP_03_I>35>0][PP_03_J>8>2][PP_03_K>1>0][PP_04_I>41>0][PP_04_J>20>1][PP_04_K>1>0][PP_05_I>35>4][PP_05_J>16>0][PP_05_K>1>0][PP_06_I>30>0][PP_06_J>12>0][PP_06_K>1>0][PP_07_I>37>5][PP_07_J>20>3][PP_07_K>1>0][PP_08_I>20>6][PP_08_J>14>3][PP_08_K>1>0][PP_09_I>22>0][PP_09_J>17>4][PP_09_K>1>0][PI_10_I>17>2][PI_10_J>4>0][PI_10_K>6>2][PI_11_I>22>5][PI_11_J>25>2][PI_11_K>5>1][PI_12_I>25>0][PI_12_J>8>4][PI_12_K>6>2][PI_13_I>9>4][PI_13_J>7>0][PI_13_K>5>1][PI_14_I>38>0][PI_14_J>17>5][PI_15_I>35>8][PI_15_J>22>3][PI_15_K>5>1][PI_16_I>37>2][PI_16_J>23>2][PI_16_K>5>1][PI_17_I>32>5][PI_17_J>16>4][PP_00_DIRECTION>J>1][PP_01_DIRECTION>I>0][PP_02_DIRECTION>I>0][PP_03_DIRECTION>J>1][PP_04_DIRECTION>J>1][PP_05_DIRECTION>J>1][PP_06_DIRECTION>J>1][PP_07_DIRECTION>J>1][PP_08_DIRECTION>I>0][PP_09_DIRECTION>J>1][PI_10_DIRECTION>I>0][PI_11_DIRECTION>I>0][PI_12_DIRECTION>I>0][PI_13_DIRECTION>J>1][PI_14_DIRECTION>J>1][PI_15_DIRECTION>J>1][PI_16_DIRECTION>J>1][PI_17_DIRECTION>J>1][PP_00_BLOCKS>-4>0][PP_01_BLOCKS>-4>0][PP_02_BLOCKS>-4>0][PP_03_BLOCKS>-4>0][PP_04_BLOCKS>-4>0][PP_05_BLOCKS>4>1][PP_06_BLOCKS>-4>0][PP_07_BLOCKS>4>1][PP_08_BLOCKS>4>1][PP_09_BLOCKS>4>1][PI_10_BLOCKS>4>1][PI_11_BLOCKS>4>1][PI_12_BLOCKS>4>1][PI_13_BLOCKS>4>1][PI_14_BLOCKS>4>1][PI_15_BLOCKS>4>1][PI_16_BLOCKS>4>1][PI_17_BLOCKS>-4>0][PI_14_K>6>0][PI_17_K>6>0];2592659994.88
[PP_00_I>21>3][PP_00_J>20>5][PP_00_K>2>1][PP_01_I>15>2][PP_01_J>19>5][PP_01_K>1>0][PP_02_I>25>1][PP_02_J>11>1][PP_02_K>1>0][PP_03_I>35>0][PP_03_J>8>2][PP_03_K>1>0][PP_04_I>41>0][PP_04_J>19>0][PP_04_K>2>1][PP_05_I>35>4][PP_05_J>16>0][PP_05_K>1>0][PP_06_I>30>0][PP_06_J>12>0][PP_06_K>1>0][PP_07_I>37>5][PP_07_J>20>3][PP_07_K>1>0][PP_08_I>20>6][PP_08_J>14>3][PP_08_K>1>0][PP_09_I>22>0][PP_09_J>17>4][PP_09_K>1>0][PI_10_I>17>2][PI_10_J>4>0][PI_10_K>6>2][PI_11_I>22>5][PI_11_J>25>2][PI_11_K>5>1][PI_12_I>25>0][PI_12_J>8>4][PI_12_K>6>2][PI_13_I>9>4][PI_13_J>7>0][PI_13_K>5>1][PI_14_I>38>0][PI_14_J>17>5][PI_15_I>35>8][PI_15_J>22>3][PI_15_K>5>1][PI_16_I>37>2][PI_16_J>23>2][PI_16_K>5>1][PI_17_I>32>5][PI_17_J>16>4][PP_00_DIRECTION>J>1][PP_01_DIRECTION>I>0][PP_02_DIRECTION>I>0][PP_03_DIRECTION>J>1][PP_04_DIRECTION>J>1][PP_05_DIRECTION>J>1][PP_06_DIRECTION>J>1][PP_07_DIRECTION>J>1][PP_08_DIRECTION>I>0][PP_09_DIRECTION>J>1][PI_10_DIRECTION>I>0][PI_11_DIRECTION>I>0][PI_12_DIRECTION>I>0][PI_13_DIRECTION>J>1][PI_14_DIRECTION>J>1][PI_15_DIRECTION>J>1][PI_16_DIRECTION>J>1][PI_17_DIRECTION>J>1][PP_00_BLOCKS>-4>0][PP_01_BLOCKS>-4>0][PP_02_BLOCKS>-4>0][PP_03_BLOCKS>-4>0][PP_04_BLOCKS>-4>0][PP_05_BLOCKS>4>1][PP_06_BLOCKS>-4>0][PP_07_BLOCKS>4>1][PP_08_BLOCKS>4>1][PP_09_BLOCKS>4>1][PI_10_BLOCKS>4>1][PI_11_BLOCKS>4>1][PI_12_BLOCKS>4>1][PI_13_BLOCKS>4>1][PI_14_BLOCKS>4>1][PI_15_BLOCKS>4>1][PI_16_BLOCKS>4>1][PI_17_BLOCKS>-4>0][PI_14_K>6>0][PI_17_K>6>0];2569240979.04
[PP_00_I>21>3][PP_00_J>20>5][PP_00_K>2>1][PP_01_I>15>2][PP_01_J>19>5][PP_01_K>1>0][PP_02_I>25>1][PP_02_J>11>1][PP_02_K>1>0][PP_03_I>35>0][PP_03_J>8>2][PP_03_K>1>0][PP_04_I>41>0][PP_04_J>19>0][PP_04_K>1>0][PP_05_I>34>3][PP_05_J>16>0][PP_05_K>1>0][PP_06_I>30>0][PP_06_J>12>0][PP_06_K>1>0][PP_07_I>37>5][PP_07_J>20>3][PP_07_K>1>0][PP_08_I>20>6][PP_08_J>14>3][PP_08_K>1>0][PP_09_I>22>0][PP_09_J>17>4][PP_09_K>1>0][PI_10_I>17>2][PI_10_J>4>0][PI_10_K>6>2][PI_11_I>22>5][PI_11_J>25>2][PI_11_K>5>1][PI_12_I>25>0][PI_12_J>8>4][PI_12_K>6>2][PI_13_I>9>4][PI_13_J>7>0][PI_13_K>5>1][PI_14_I>38>0][PI_14_J>17>5][PI_15_I>35>8][PI_15_J>22>3][PI_15_K>5>1][PI_16_I>37>2][PI_16_J>23>2][PI_16_K>5>1][PI_17_I>32>5][PI_17_J>16>4][PP_00_DIRECTION>J>1][PP_01_DIRECTION>I>0][PP_02_DIRECTION>I>0][PP_03_DIRECTION>J>1][PP_04_DIRECTION>J>1][PP_05_DIRECTION>J>1][PP_06_DIRECTION>J>1][PP_07_DIRECTION>J>1][PP_08_DIRECTION>I>0][PP_09_DIRECTION>J>1][PI_10_DIRECTION>I>0][PI_11_DIRECTION>I>0][PI_12_DIRECTION>I>0][PI_13_DIRECTION>J>1][PI_14_DIRECTION>J>1][PI_15_DIRECTION>J>1][PI_16_DIRECTION>J>1][PI_17_DIRECTION>J>1][PP_00_BLOCKS>-4>0][PP_01_BLOCKS>-4>0][PP_02_BLOCKS>-4>0][PP_03_BLOCKS>-4>0][PP_04_BLOCKS>-4>0][PP_05_BLOCKS>4>1][PP_06_BLOCKS>-4>0][PP_07_BLOCKS>4>1][PP_08_BLOCKS>4>1][PP_09_BLOCKS>4>1][PI_10_BLOCKS>4>1][PI_11_BLOCKS>4>1][PI_12_BLOCKS>4>1][PI_13_BLOCKS>4>1][PI_14_BLOCKS>4>1][PI_15_BLOCKS>4>1][PI_16_BLOCKS>4>1][PI_17_BLOCKS>-4>0][PI_14_K>6>0][PI_17_K>6>0];2608395291.13
[PP_00_I>21>3][PP_00_J>20>5][PP_00_K>2>1][PP_01_I>15>2][PP_01_J>19>5][PP_01_K>1>0][PP_02_I>25>1][PP_02_J>11>1][PP_02_K>1>0][PP_03_I>35>0][PP_03_J>8>2][PP_03_K>1>0][PP_04_I>41>0][PP_04_J>19>0][PP_04_K>1>0][PP_05_I>35>4][PP_05_J>17>1][PP_05_K>1>0][PP_06_I>30>0][PP_06_J>12>0][PP_06_K>1>0][PP_07_I>37>5][PP_07_J>20>3][PP_07_K>1>0][PP_08_I>20>6][PP_08_J>14>3][PP_08_K>1>0][PP_09_I>22>0][PP_09_J>17>4][PP_09_K>1>0][PI_10_I>17>2][PI_10_J>4>0][PI_10_K>6>2][PI_11_I>22>5][PI_11_J>25>2][PI_11_K>5>1][PI_12_I>25>0][PI_12_J>8>4][PI_12_K>6>2][PI_13_I>9>4][PI_13_J>7>0][PI_13_K>5>1][PI_14_I>38>0][PI_14_J>17>5][PI_15_I>35>8][PI_15_J>22>3][PI_15_K>5>1][PI_16_I>37>2][PI_16_J>23>2][PI_16_K>5>1][PI_17_I>32>5][PI_17_J>16>4][PP_00_DIRECTION>J>1][PP_01_DIRECTION>I>0][PP_02_DIRECTION>I>0][PP_03_DIRECTION>J>1][PP_04_DIRECTION>J>1][PP_05_DIRECTION>J>1][PP_06_DIRECTION>J>1][PP_07_DIRECTION>J>1][PP_08_DIRECTION>I>0][PP_09_DIRECTION>J>1][PI_10_DIRECTION>I>0][PI_11_DIRECTION>I>0][PI_12_DIRECTION>I>0][PI_13_DIRECTION>J>1][PI_14_DIRECTION>J>1][PI_15_DIRECTION>J>1][PI_16_DIRECTION>J>1][PI_17_DIRECTION>J>1][PP_00_BLOCKS>-4>0][PP_01_BLOCKS>-4>0][PP_02_BLOCKS>-4>0][PP_03_BLOCKS>-4>0][PP_04_BLOCKS>-4>0][PP_05_BLOCKS>4>1][PP_06_BLOCKS>-4>0][PP_07_BLOCKS>4>1][PP_08_BLOCKS>4>1][PP_09_BLOCKS>4>1][PI_10_BLOCKS>4>1][PI_11_BLOCKS>4>1][PI_12_BLOCKS>4>1][PI_13_BLOCKS>4>1][PI_14_BLOCKS>4>1][PI_15_BLOCKS>4>1][PI_16_BLOCKS>4>1][PI_17_BLOCKS>-4>0][PI_14_K>6>0][PI_17_K>6>0];2525552329.17
